Sample ID,Peak 1,Trough 1,Breakdown,Final Visc,Setback,Peak Time,Pasting Temp
250,6613,2199,4414,3398,1199,3.933333333,75.05
251,5963,1120,4843,1650,530,4,75.85
252,4823,1522,3301,2418,896,3.933333333,75.15
253,5051,1490,3561,2343,853,4,75.05
254,5051,1490,3561,2343,853,4,75.05
256,7062,2561,4501,3947,1386,4.066666667,75.8
257,4195,440,3755,868,428,3.8,74.25
258,5681,1370,4311,2319,949,4,75.15
259,5930,1828,4102,3035,1207,3.866666667,75.1
261,5858,1099,4759,1668,569,3.933333333,75.85
262,7503,2869,4634,3969,1100,4,75.95
263,7367,2746,4621,3870,1124,3.866666667,75
265,6959,2652,4307,3687,1035,3.933333333,75.15
266,6572,2526,4046,3721,1195,4.066666667,75.1
268,6818,2547,4271,3626,1079,3.933333333,73.45
269,6649,2351,4298,3508,1157,3.866666667,75.05
270,7128,2764,4364,3739,975,4,73.35
272,6437,2638,3799,3618,980,4.266666667,75.15
273,6918,2616,4302,3750,1134,4,75.1
274,7303,2811,4492,3797,986,3.866666667,72.6
275,6975,2456,4519,3631,1175,3.933333333,75.05
278,7506,3013,4493,4051,1038,4,74.3
279,6193,1474,4719,2166,692,3.933333333,75.9
280,6934,2650,4284,3842,1192,3.733333333,72.65
281,6619,2457,4162,3420,963,3.733333333,73.4
282,7430,2821,4609,3743,922,3.866666667,73.35
283,7135,2568,4567,3733,1165,4,75.9
284,7329,2834,4495,3919,1085,3.866666667,74.35
286,7667,2818,4849,4165,1347,3.8,72.6
288,6066,1344,4722,1925,581,3.8,75
290,8000,2762,5238,3884,1122,3.6,73.45
291,6987,2727,4260,4055,1328,4.2,74.3
293,7064,2763,4301,3715,952,3.933333333,74.3
294,8000,2810,5190,3799,989,3.666666667,73.35
295,6766,2540,4226,3539,999,3.933333333,75.15
296,7408,2695,4713,3832,1137,3.8,73.4
297,6423,2401,4022,3583,1182,3.866666667,75.95
299,6372,2245,4127,3524,1279,3.866666667,75.95
300,5449,1223,4226,1812,589,3.8,75.1
303,6355,1779,4576,2603,824,3.866666667,74.25
306,6927,2855,4072,3708,853,3.933333333,75.05
307,6796,2755,4041,3830,1075,4,73.5
308,6982,2736,4246,3845,1109,3.733333333,74.4
309,7025,2597,4428,3791,1194,3.933333333,75.85
310,6925,2769,4156,3922,1153,4,75.85
311,6014,2502,3512,3606,1104,4.2,74.25
316,6800,2639,4161,3730,1091,4,74.25
318,6677,2480,4197,3635,1155,3.8,75
319,6420,1662,4758,2505,843,3.933333333,76.7
5001,3803,1004,2799,1802,798,4.27,79.05
5002,3931,1099,2832,1854,755,4.07,79.15
5003,4001,1160,2841,1893,733,4.13,78.2
5004,5030,1934,3096,3044,1110,4.27,77.5
5005,4432,989,3443,1726,737,3.93,75.9
5006,3911,1385,2526,2205,820,4.33,79
5008,4971,1838,3133,2939,1101,4.13,78.25
5009,4226,1135,3091,1733,598,4.27,78.3
50010,5141,2052,3089,3113,1061,4.2,77.5
50011,4421,1808,2613,2799,991,4.27,79.15
50012,4214,1647,2567,2612,965,4.4,79
50013,4288,1472,2816,2410,938,4.13,77.5
50015,4378,1441,2937,2378,937,4.07,77.55
50016,4376,1593,2783,2526,933,4.27,78.25
50017,3921,1421,2500,2172,751,4.33,79.9
50018,3614,1178,2436,1896,718,4.27,79.05
50019,3857,1487,2370,2345,858,4.4,78.25
50021,5616,2606,3010,4165,1559,4.27,79.1
50023,4781,1605,3176,2589,984,4.27,74.2
50024,3385,1172,2213,1833,661,4.4,78.2
50025,6200,2705,3495,4707,2002,4.4,75.05
50027,2568,285,2283,600,315,4,75.9
50028,3668,1397,2271,2105,708,4.2,77.55
50029,4891,1740,3151,2835,1095,4.07,76.75
50030,3691,1262,2429,1905,643,4.2,77.5
50031,5099,1580,3519,2488,908,3.93,76.7
50032,2320,525,1795,940,415,4.33,78.3
50036,3365,781,2584,1345,564,4.07,76.6
50038,4052,1421,2631,2227,806,4.07,75.85
50039,4827,2186,2641,3505,1319,4.4,79.85
50040,4307,1269,3038,1919,650,4.2,77.4
50041,4821,1966,2855,2919,953,4.33,78.3
50045,4363,1031,3332,1577,546,4.13,78.2
50046,2978,337,2641,735,398,3.93,77.5
50047,2687,614,2073,955,341,4.07,76.7
50049,5825,2516,3309,3683,1167,4.07,77.45
50050,3194,1156,2038,1758,602,4.27,79.05
50051,5066,2157,2909,3366,1209,4.33,78.35
50052,5289,2104,3185,3478,1374,4.27,77.55
50053,5409,2189,3220,3515,1326,4,78.2
50055,6196,2463,3733,3733,1270,4,75.85
50056,5830,2498,3332,3707,1209,4.2,77.45
50057,5557,2092,3465,3252,1160,4,75.8
50058,4395,1666,2729,2576,910,4.27,77.45
50059,5829,2472,3357,3888,1416,4.4,77.55
50061,5556,2029,3527,3232,1203,4.13,78.35
50063,5793,2327,3466,3618,1291,4,75.85
50064,6030,2414,3616,3855,1441,4.13,78.25
50065,3701,853,2848,1172,319,4.27,77.55
50066,5912,2280,3632,3578,1298,4.13,76.7
50068,5612,2271,3341,3596,1325,4.13,78.3
50071,6517,2647,3870,4259,1612,4.07,76.65
50073,4330,1097,3233,1579,482,4.13,78.25
50074,4163,1653,2510,2513,860,4.2,77.45
50075,6262,2740,3522,4341,1601,4.2,76.65
50076,5642,2376,3266,3883,1507,4.13,78.3
50077,5622,2297,3325,3690,1393,4.13,76.65
50078,6279,2516,3763,3913,1397,4.27,77.55
50079,5816,2465,3351,3897,1432,4.4,77.5
50080,5836,2421,3415,3881,1460,4.27,77.5
50081,6178,2299,3879,3570,1271,4.13,76.65
50085,6268,2688,3580,4096,1408,4.27,76.7
50087,5103,2083,3020,3379,1296,4.2,77.45
50089,5089,1947,3142,3088,1141,4.13,76.6
50090,6066,2441,3625,3956,1515,4.07,77.55
50091,5630,2359,3271,3719,1360,4.2,77.4
50092,6062,2769,3293,4264,1495,4.13,79.05
50094,4722,1440,3282,2258,818,4.13,77.5
50098,5648,2423,3225,3770,1347,4.4,77.5
50099,5335,2412,2923,4257,1845,4.33,75.8
500101,5572,2342,3230,3572,1230,4.2,77.55
500102,5496,1909,3587,3025,1116,4.07,75.8
500104,5389,1969,3420,3127,1158,4,76.7
500132,5522,2222,3300,3433,1211,4.07,76.65
500142,4510,1643,2867,2760,1117,4.27,78.25
500146,5547,1400,4147,2201,801,3.87,75.1
500157,4654,1665,2989,2600,935,4.27,78.3
500158,6981,2971,4010,4554,1583,4.13,75.9
500159,4742,1870,2872,2950,1080,4.13,77.4
500161,6096,2179,3917,3493,1314,4,77.5
500162,5256,2654,2602,4258,1604,4.4,76.6
500163,6138,2565,3573,3916,1351,4.13,76.65
500164,5962,2469,3493,3903,1434,4.27,76.75
500165,6180,3006,3174,4284,1278,4.27,76.65
500166,5740,2599,3141,4550,1951,4.33,78.3
500167,5899,2458,3441,3814,1356,4.13,77.55
500170,4085,1424,2661,2200,776,4.27,79.1
500171,6183,2471,3712,3910,1439,4,75.85
500172,5007,1662,3345,2597,935,4,76.6
500174,4925,1677,3248,2653,976,4,76.65
500175,5610,2378,3232,3763,1385,4.27,77.4
500177,6029,2081,3948,3341,1260,3.93,73.4
500178,4535,1599,2936,2518,919,4.13,77.4
500179,5939,2567,3372,4088,1521,4.13,77.5
500180,4520,1365,3155,1974,609,4.27,78.25
500181,5262,1956,3306,3050,1094,4.2,77.5
500182,6892,3351,3541,5349,1998,4.33,75.85
500186,6449,2866,3583,4362,1496,4.13,77.45
500187,5814,2366,3448,3698,1332,4.07,78.2
500189,4785,1538,3247,2344,806,4.2,79.15
500190,5717,2504,3213,4139,1635,4.13,76.7
500192,5491,2295,3196,3548,1253,4.4,77.4
500194,5678,2055,3623,3254,1199,4.07,76.7
500196,5798,2430,3368,3913,1483,4.07,78.35
500199,5646,2416,3230,3692,1276,4.2,79.1
500200,5427,2218,3209,3499,1281,4.2,75.85
500201,4555,1774,2781,2848,1074,4.33,78.35
500202,5646,2338,3308,3740,1402,4.2,77.4
500203,4583,1788,2795,2789,1001,4.27,78.35
500204,5310,2236,3074,3482,1246,4.33,78.25
500205,5344,2251,3093,3456,1205,4.33,78.25
500207,4678,1455,3223,2104,649,4.2,78.3
500208,5685,2368,3317,3937,1569,4.13,77.4
500209,5630,2348,3282,3804,1456,4.07,76.7
500210,4895,2168,2727,3359,1191,4.4,79.1
500214,4962,1631,3331,2567,936,4.07,78.3
500215,5748,2603,3145,4040,1437,4.27,79.1
500217,5239,2145,3094,3451,1306,4.07,77.45
500220,6465,2961,3504,4733,1772,4,78.25
500221,5096,2287,2809,3680,1393,4.33,79.15
500222,4878,1985,2893,3155,1170,4.27,77.45
500223,5197,2560,2637,4178,1618,4.33,75.85
500224,5175,2361,2814,3805,1444,4.2,77.45
500225,5089,2299,2790,3583,1284,4.13,79.05
500227,4917,1522,3395,2399,877,4.13,78.35
500231,6609,2729,3880,4456,1727,3.87,77.45
500234,5811,1855,3956,2636,781,3.87,75.8
500236,7465,3674,3791,5721,2047,4.07,75.9
500237,5848,1528,4320,2293,765,3.93,76.65
500238,5183,1981,3202,3196,1215,4.13,77.4
500239,5941,2729,3212,4565,1836,4,76.75
500240,5844,2769,3075,4426,1657,4.27,77.45
500242,5710,2348,3362,3721,1373,3.93,77.55
500244,6287,2208,4079,3553,1345,4,77.45
500246,6152,2677,3475,4150,1473,4.07,76.6
500247,5776,2409,3367,4002,1593,3.93,77.5
500249,6337,2700,3637,4240,1540,3.93,76.65
500250,4973,2212,2761,3454,1242,4.4,78.25
500252,5833,2650,3183,4185,1535,3.87,77.45
500253,5742,2481,3261,3968,1487,4.07,77.45
500254,6201,2982,3219,4701,1719,4.13,76.65
500255,4830,2258,2572,3557,1299,4.27,78.35
500257,4936,2085,2851,3227,1142,4.33,77.45
500260,5539,2496,3043,4025,1529,4.2,78.25
500261,5472,2300,3172,3404,1104,4.27,77.55
500263,6336,2739,3597,4308,1569,4.27,77.45
500264,5140,1787,3353,2758,971,4.4,79.85
500265,6033,2593,3440,4387,1794,4.07,76.6
500266,5712,2614,3098,4006,1392,4.4,77.5
500272,6083,3024,3059,4385,1361,4.53,79.1
500273,6101,2515,3586,3781,1266,4.2,77.45
500274,6251,2741,3510,4460,1719,4.33,77.45
500275,6038,2499,3539,4033,1534,4.13,77.45
500277,6139,2361,3778,3592,1231,3.87,73.45
500278,5590,1877,3713,2912,1035,4.27,76.7
500279,6148,3060,3088,4516,1456,4.6,77.45
500280,6989,2823,4166,4583,1760,4.2,77.55
500281,5720,2481,3239,3874,1393,4.07,77.4
500285,6376,2690,3686,4193,1503,4.4,77.4
500286,5945,2422,3523,3726,1304,4.33,77.4
500287,5876,2427,3449,3589,1162,4.13,75.85
500288,7431,3044,4387,4544,1500,3.93,75.1
500289,6671,2890,3781,4313,1423,4.4,76.65
500292,5605,1488,4117,2295,807,4.13,77.45
500297,6369,2527,3842,3843,1316,4,75
500299,6131,2609,3522,4112,1503,4.33,76.65
500300,6145,2586,3559,3937,1351,4.33,77.5
500303,6739,3090,3649,4679,1589,4.13,77.4
500306,4283,981,3302,1409,428,4.2,79.05
